Geneid	gene	Metastatic..N.58.	Normal..N.52.	Tumor..N.491.	BMI1_1_sorted.bam	BMI1_2_sorted.bam	Length	BMI1_1_rpkm	BMI1_2_rpkm	rank1	rank2	gene_name	T_id
ENSG00000260563.3		4.808992	3.112295	3.916283	268	257	1195	22.42677824	21.50627615	49	34	 gene_name RP13-516M14.1	 cmp_ref T156887
ENSG00000261373.1	VPS9D1-AS1	8.56773	1.439295	5.164928	357	218	1753	20.36508842	12.4358243	56	71	 gene_name VPS9D1-AS1	 cmp_ref T138854
ENSG00000273344.1	PAXIP1-AS1	5.764094	3.580843	5.197134	447	376	2256	19.81382979	16.66666667	60	48	 gene_name PAXIP1-AS1	 cmp_ref T336498
ENSG00000257647.1		1.086994	0.867881	0.8169635	84	28	427	19.67213115	6.557377049	61	182	 gene_name RP11-701H24.3	 cmp_ref T113057
ENSG00000260260.1	SNHG19	110.66979	38.85117	109.1226	62	62	342	18.12865497	18.12865497	64	46	 gene_name SNHG19	 cmp_ref T125350
ENSG00000232352.1	SEMA3B-AS1	2.879971	1.220441	1.442173	61	13	338	18.04733728	3.846153846	65	337	 gene_name SEMA3B-AS1	 cmp_ref T242849
ENSG00000260708.1		4.186475	2.884972	3.278644	118	134	670	17.6119403	20	69	39	 gene_name CTA-29F11.1	 cmp_ref T235551
ENSG00000259943.1		3.795914	4.484614	4.631732	261	284	1541	16.93705386	18.42959117	75	45	 gene_name RP1-39G22.7	 cmp_ref T008764
ENSG00000272172.1		3.3233306	0.7726282	1.6290179	35	22	223	15.69506726	9.865470852	82	106	 gene_name RP13-582O9.7	 cmp_ref T353403
ENSG00000259802.1		2.407475	1.184963	1.780564	132	150	901	14.65038846	16.6481687	86	49	 gene_name CTD-2256P15.2	 cmp_ref T278899
ENSG00000251611.1	FAM160A1-DT	1.0851533	0.5483258	0.6422807	51	26	358	14.24581006	7.262569832	88	162	 gene_name RP11-610P16.1	 cmp_ref T272861
ENSG00000271732.1		0.17609293	0.05897157	0.192162	48	34	339	14.15929204	10.02949853	89	103	 gene_name RP5-1182A14.5	 cmp_ref T004096
ENSG00000255198.4	SNHG9	9.67593	5.085203	11.428556	78	52	551	14.15607985	9.43738657	90	115	 gene_name SNHG9	 cmp_ref T125200
ENSG00000274605.1		11.26495	14.97561	19.53169	125	100	913	13.69112815	10.95290252	95	87	 gene_name RP11-12G12.7	 cmp_ref T098209
ENSG00000261220.2		0.9653621	0.3280739	0.4156246	92	101	679	13.54933726	14.87481591	98	57	 gene_name RP11-629O1.2	 cmp_ref T352044
ENSG00000271737.1		3.313685	1.079747	1.596279	55	36	416	13.22115385	8.653846154	101	136	 gene_name CTB-113I20.2	 cmp_ref T289099
ENSG00000234614.1	C2CD4D-AS1	1.595544	1.12177	1.301087	66	33	506	13.04347826	6.52173913	102	183	 gene_name AL450992.2	 cmp_ref T020994
ENSG00000272667.1		3.779408	1.606324	1.80752	79	73	630	12.53968254	11.58730159	106	81	 gene_name RP11-395A13.2	 cmp_ref T198694
ENSG00000232093.1	DCST1-AS1	1.8016641	0.9283043	1.2023847	103	77	822	12.53041363	9.367396594	107	116	 gene_name RP11-307C12.11	 cmp_ref T021797
ENSG00000255153.1	TOLLIP-AS1	1.928653	1.623068	2.075547	116	137	939	12.35356763	14.58998935	109	59	 gene_name TOLLIP-AS1	 cmp_ref T052689
ENSG00000266947.1		0.6062513	0.684113	0.7610679	327	257	2814	11.62046908	9.132906894	116	124	 gene_name RP11-799D4.4	 cmp_ref T145767
ENSG00000273456.1		1.934031	2.055091	2.630388	78	54	673	11.58989599	8.023774146	117	144	 gene_name RP11-686O6.2	 cmp_ref T205979
ENSG00000258056.2		4.401343	5.410509	5.77443	160	134	1443	11.08801109	9.286209286	123	120	 gene_name RP11-644F5.11	 cmp_ref T079991
ENSG00000273812.1		0.5509841	0.1278162	0.102569	68	56	625	10.88	8.96	125	127	 gene_name WI2-87327B8.2	 cmp_ref T221911
ENSG00000274528.1		0.580627	0.2122481	0.4166158	94	62	866	10.85450346	7.159353349	126	167	 gene_name CTD-2650P22.2	 cmp_ref T116764
ENSG00000273619.1		5.593398	2.066361	3.960963	72	58	668	10.77844311	8.682634731	129	135	 gene_name RP5-908M14.9	 cmp_ref T221736
ENSG00000243479.3	MNX1-AS1	2.1023294	0.2443559	1.2128988	111	101	1041	10.66282421	9.702209414	131	110	 gene_name MNX1-AS1	 cmp_ref T336993
ENSG00000242407.1		11.850613	4.957649	8.668953	55	29	532	10.33834586	5.45112782	135	229	 gene_name CTD-2377D24.4	 cmp_ref T149882
ENSG00000273117.1		1.2154144	0.9691832	0.9348192	166	164	1624	10.22167488	10.09852217	137	101	 gene_name AC144652.1	 cmp_ref T336624
ENSG00000232445.1		1.942442	0.744743	0.9803412	72	80	705	10.21276596	11.34751773	138	83	 gene_name RP11-132A1.4	 cmp_ref T330111
ENSG00000196810.4	CTBP1-DT	3.11245	2.003636	2.370504	755	490	7820	9.654731458	6.265984655	146	193	 gene_name CTBP1-AS2	 cmp_ref T259325
ENSG00000196810.4	CTBP1-DT	3.11245	2.003636	2.370504	755	490	7820	9.654731458	6.265984655	146	193	 gene_name CTBP1-AS2	 cmp_ref T259322
ENSG00000196810.4	CTBP1-DT	3.11245	2.003636	2.370504	755	490	7820	9.654731458	6.265984655	146	193	 gene_name CTBP1-AS2	 cmp_ref T259328
ENSG00000196810.4	CTBP1-DT	3.11245	2.003636	2.370504	755	490	7820	9.654731458	6.265984655	146	193	 gene_name CTBP1-AS2	 cmp_ref T259320
ENSG00000196810.4	CTBP1-DT	3.11245	2.003636	2.370504	755	490	7820	9.654731458	6.265984655	146	193	 gene_name CTBP1-AS2	 contained_in ENST00000581398.1
ENSG00000196810.4	CTBP1-DT	3.11245	2.003636	2.370504	755	490	7820	9.654731458	6.265984655	146	193	 gene_name CTBP1-AS2	 cmp_ref T259325
ENSG00000196810.4	CTBP1-DT	3.11245	2.003636	2.370504	755	490	7820	9.654731458	6.265984655	146	193	 gene_name CTBP1-AS2	 cmp_ref T259322
ENSG00000196810.4	CTBP1-DT	3.11245	2.003636	2.370504	755	490	7820	9.654731458	6.265984655	146	193	 gene_name CTBP1-AS2	 cmp_ref T259328
ENSG00000196810.4	CTBP1-DT	3.11245	2.003636	2.370504	755	490	7820	9.654731458	6.265984655	146	193	 gene_name CTBP1-AS2	 cmp_ref T259320
ENSG00000196810.4	CTBP1-DT	3.11245	2.003636	2.370504	755	490	7820	9.654731458	6.265984655	146	193	 gene_name CTBP1-AS2	 contained_in ENST00000581398.1
ENSG00000196810.4	CTBP1-DT	3.11245	2.003636	2.370504	755	490	7820	9.654731458	6.265984655	146	193	 gene_name CTBP1-AS2	 cmp_ref T259325
ENSG00000196810.4	CTBP1-DT	3.11245	2.003636	2.370504	755	490	7820	9.654731458	6.265984655	146	193	 gene_name CTBP1-AS2	 cmp_ref T259322
ENSG00000196810.4	CTBP1-DT	3.11245	2.003636	2.370504	755	490	7820	9.654731458	6.265984655	146	193	 gene_name CTBP1-AS2	 cmp_ref T259328
ENSG00000196810.4	CTBP1-DT	3.11245	2.003636	2.370504	755	490	7820	9.654731458	6.265984655	146	193	 gene_name CTBP1-AS2	 cmp_ref T259320
ENSG00000196810.4	CTBP1-DT	3.11245	2.003636	2.370504	755	490	7820	9.654731458	6.265984655	146	193	 gene_name CTBP1-AS2	 contained_in ENST00000581398.1
ENSG00000196810.4	CTBP1-DT	3.11245	2.003636	2.370504	755	490	7820	9.654731458	6.265984655	146	193	 gene_name CTBP1-AS2	 cmp_ref T259325
ENSG00000196810.4	CTBP1-DT	3.11245	2.003636	2.370504	755	490	7820	9.654731458	6.265984655	146	193	 gene_name CTBP1-AS2	 cmp_ref T259322
ENSG00000196810.4	CTBP1-DT	3.11245	2.003636	2.370504	755	490	7820	9.654731458	6.265984655	146	193	 gene_name CTBP1-AS2	 cmp_ref T259328
ENSG00000196810.4	CTBP1-DT	3.11245	2.003636	2.370504	755	490	7820	9.654731458	6.265984655	146	193	 gene_name CTBP1-AS2	 cmp_ref T259320
ENSG00000196810.4	CTBP1-DT	3.11245	2.003636	2.370504	755	490	7820	9.654731458	6.265984655	146	193	 gene_name CTBP1-AS2	 contained_in ENST00000581398.1
ENSG00000196810.4	CTBP1-DT	3.11245	2.003636	2.370504	755	490	7820	9.654731458	6.265984655	146	193	 gene_name CTBP1-AS2	 cmp_ref T259325
ENSG00000196810.4	CTBP1-DT	3.11245	2.003636	2.370504	755	490	7820	9.654731458	6.265984655	146	193	 gene_name CTBP1-AS2	 cmp_ref T259322
ENSG00000196810.4	CTBP1-DT	3.11245	2.003636	2.370504	755	490	7820	9.654731458	6.265984655	146	193	 gene_name CTBP1-AS2	 cmp_ref T259328
ENSG00000196810.4	CTBP1-DT	3.11245	2.003636	2.370504	755	490	7820	9.654731458	6.265984655	146	193	 gene_name CTBP1-AS2	 cmp_ref T259320
ENSG00000196810.4	CTBP1-DT	3.11245	2.003636	2.370504	755	490	7820	9.654731458	6.265984655	146	193	 gene_name CTBP1-AS2	 contained_in ENST00000581398.1
ENSG00000273253.2		2.10413	1.48855	2.04313	96	88	1001	9.59040959	8.791208791	150	133	 gene_name RP3-402G11.26	 cmp_ref T236256
ENSG00000258798.1		0.5479346	0.0791651	0.2445206	29	29	303	9.570957096	9.570957096	152	112	 gene_name RP11-895M11.3	 cmp_ref T108999
ENSG00000233230.1		1.3403049	0.6367518	0.8219791	78	45	856	9.112149533	5.257009346	160	236	 gene_name AC079807.2	 cmp_ref T189122
ENSG00000233230.1		1.3403049	0.6367518	0.8219791	78	45	856	9.112149533	5.257009346	160	236	 gene_name AC079807.2	 cmp_ref T189121
ENSG00000233230.1		1.3403049	0.6367518	0.8219791	78	45	856	9.112149533	5.257009346	160	236	 gene_name AC079807.2	 cmp_ref T189122
ENSG00000233230.1		1.3403049	0.6367518	0.8219791	78	45	856	9.112149533	5.257009346	160	236	 gene_name AC079807.2	 cmp_ref T189121
ENSG00000270372.1		2.6985036	0.2466252	1.8314707	10	7	110	9.090909091	6.363636364	161	187	 gene_name RP11-109M17.2	 cmp_ref T355629
ENSG00000273821.1		0.4074336	0.2304932	0.4865004	41	48	462	8.874458874	10.38961039	164	96	 gene_name RP5-963E22.6	 cmp_ref T222217
ENSG00000249641.2	HOXC13-AS	0.072402281	0.006780069	0.04325329	124	120	1408	8.806818182	8.522727273	167	138	 gene_name HOXC13-AS	 cmp_ref T079493
ENSG00000271780.1		1.995765	1.767971	2.243226	95	95	1079	8.804448563	8.804448563	168	132	 gene_name RP11-1017G21.5	 cmp_ref T110610
ENSG00000225285.1	LINC01770	2.44796	2.910643	2.911019	73	45	851	8.578143361	5.287896592	170	235	 gene_name RP4-758J18.10	 cmp_ref T000788
ENSG00000225285.1	LINC01770	2.44796	2.910643	2.911019	73	45	851	8.578143361	5.287896592	170	235	 gene_name RP4-758J18.10	 cmp_ref T000789
ENSG00000225285.1	LINC01770	2.44796	2.910643	2.911019	73	45	851	8.578143361	5.287896592	170	235	 gene_name RP4-758J18.10	 cmp_ref T000792
ENSG00000225285.1	LINC01770	2.44796	2.910643	2.911019	73	45	851	8.578143361	5.287896592	170	235	 gene_name RP4-758J18.10	 cmp_ref T000791
ENSG00000225285.1	LINC01770	2.44796	2.910643	2.911019	73	45	851	8.578143361	5.287896592	170	235	 gene_name RP4-758J18.10	 cmp_ref T000788
ENSG00000225285.1	LINC01770	2.44796	2.910643	2.911019	73	45	851	8.578143361	5.287896592	170	235	 gene_name RP4-758J18.10	 cmp_ref T000789
ENSG00000225285.1	LINC01770	2.44796	2.910643	2.911019	73	45	851	8.578143361	5.287896592	170	235	 gene_name RP4-758J18.10	 cmp_ref T000792
ENSG00000225285.1	LINC01770	2.44796	2.910643	2.911019	73	45	851	8.578143361	5.287896592	170	235	 gene_name RP4-758J18.10	 cmp_ref T000791
ENSG00000259891.1		1.680858	0.837412	1.113297	188	84	2231	8.426714478	3.765127745	174	348	 gene_name CTA-204B4.2	 cmp_ref T352531
ENSG00000227857.2		0.6803937	0.3626322	0.6936065	28	47	339	8.259587021	13.86430678	176	63	 gene_name RP4-533D7.5	 cmp_ref T010208
ENSG00000236305.1	SLC12A9-AS1	2.0463318	0.7202535	1.6755196	30	8	369	8.130081301	2.16802168	180	578	 gene_name RP11-126L15.4	 cmp_ref T329846
ENSG00000278768.1	BACE1-AS	2.309165	2.545144	2.831593	82	51	1022	8.023483366	4.990215264	181	253	 gene_name BACE1-AS	 cmp_ref T068062
ENSG00000267868.1		1.2656243	0.9485073	1.5071778	102	69	1297	7.864302236	5.31996916	184	234	 gene_name RP11-120K24.3	 cmp_ref T099580
ENSG00000260077.1		2.857785	2.260364	1.740018	121	73	1572	7.697201018	4.643765903	188	280	 gene_name RP11-254F7.2	 cmp_ref T184357
ENSG00000263004.1		3.348133	4.48586	5.232151	64	66	855	7.485380117	7.719298246	192	151	 gene_name RP11-166P13.3	 cmp_ref T151103
ENSG00000263004.1		3.348133	4.48586	5.232151	64	66	855	7.485380117	7.719298246	192	151	 gene_name RP11-166P13.3	 cmp_ref T151102
ENSG00000278709.1	NKILA	4.775801	5.911767	7.776018	184	155	2598	7.082371055	5.966127791	199	203	 gene_name RP5-1059L7.1	 cmp_ref T220788
ENSG00000255135.3		6.979452	5.044978	7.392264	53	46	754	7.029177719	6.100795756	202	198	 gene_name RP11-111M22.3	 cmp_ref T064271
ENSG00000255135.3		6.979452	5.044978	7.392264	53	46	754	7.029177719	6.100795756	202	198	 gene_name RP11-111M22.3	 cmp_ref T064270
ENSG00000275964.1		1.971715	2.404396	2.252033	83	73	1191	6.968933669	6.129303107	203	196	 gene_name RP11-61K9.3	 cmp_ref T090902
ENSG00000260953.1		0.16256481	0.06971757	0.04247116	39	17	561	6.951871658	3.03030303	205	423	 gene_name RP11-426C22.6	 cmp_ref T129791
ENSG00000263105.1		0.7124877	0.3618859	0.4792526	22	9	318	6.918238994	2.830188679	208	455	 gene_name RP11-95P2.3	 cmp_ref T126429
ENSG00000261455.1	LINC01003	3.213922	1.808078	2.101705	121	120	1764	6.859410431	6.802721088	209	178	 gene_name LINC01003	 cmp_ref T336230
ENSG00000267475.1		4.05059	1.821979	3.20662	38	14	568	6.690140845	2.464788732	217	515	 gene_name CTD-2538C1.2	 cmp_ref T172965
ENSG00000272853.1		1.3871922	0.9671628	1.7330638	65	89	999	6.506506507	8.908908909	228	128	 gene_name RP11-398C13.6	 cmp_ref T037564
ENSG00000231691.1		0.10710685	0.26802562	0.06241503	29	18	446	6.502242152	4.035874439	229	318	 gene_name RP11-203F10.5	 cmp_ref T028620
ENSG00000260806.1		0.9186033	0.2620237	0.5943833	98	70	1512	6.481481481	4.62962963	232	282	 gene_name RP11-872J21.3	 cmp_ref T109783
ENSG00000273702.1		2.102045	1.687584	1.854382	74	59	1162	6.368330465	5.077452668	238	246	 gene_name RP11-758H9.2	 cmp_ref T151591
ENSG00000249116.1		2.6438465	0.8266854	2.4070752	27	20	425	6.352941176	4.705882353	239	274	 gene_name CTD-2194D22.3	 cmp_ref T277831
ENSG00000270177.1		0.7008884	0.5646409	0.6883313	90	62	1418	6.34696756	4.37235543	241	303	 gene_name CTD-2410N18.3	 cmp_ref T289144
ENSG00000265415.1		3.5389268	0.4723499	0.6613962	20	20	321	6.230529595	6.230529595	247	194	 gene_name CTD-2510F5.4	 cmp_ref T151552
ENSG00000273270.1		1.1126052	0.9657718	1.1335711	439	335	7054	6.223419337	4.749078537	248	270	 gene_name RP11-212P7.2	 cmp_ref T332767
ENSG00000267321.1	LINC02001	4.979551	5.281099	5.527448	80	97	1298	6.163328197	7.473035439	252	155	 gene_name RP11-1094M14.11	 cmp_ref T145874
ENSG00000273473.1		0.6417838	0.342891	0.6853646	35	29	572	6.118881119	5.06993007	254	247	 gene_name LL09NC01-139C3.1	 cmp_ref T368467
ENSG00000261211.1		0.3583039	0.105578	0.4572712	203	129	3325	6.105263158	3.879699248	255	334	 gene_name RP1-80N2.3	 cmp_ref T296588
ENSG00000255121.2		1.1462696	0.5883512	0.5590266	90	47	1506	5.976095618	3.120849934	261	416	 gene_name RP11-110I1.12	 cmp_ref T068511
ENSG00000272459.1		0.7034337	0.5847379	0.7719046	32	43	541	5.914972274	7.948243993	264	147	 gene_name RP11-1277A3.3	 cmp_ref T294389
ENSG00000261437.1		1.692497	0.6767804	1.292465	129	149	2183	5.90929913	6.825469537	265	177	 gene_name RP11-22C11.2	 cmp_ref T347938
ENSG00000260317.1		1.2620067	0.8400492	2.0044186	105	92	1805	5.817174515	5.096952909	271	244	 gene_name RP11-48B3.4	 cmp_ref T346682
ENSG00000230163.1		1.6001445	0.9938386	1.3502207	40	21	720	5.555555556	2.916666667	281	439	 gene_name RP5-997D16.2	 cmp_ref T007773
ENSG00000229539.1		1.5904467	0.8763799	1.0207559	24	14	441	5.442176871	3.174603175	287	408	 gene_name RP11-119B16.2	 cmp_ref T213036
ENSG00000263958.1		0.14507994	0.005880228	0.044653643	29	22	534	5.43071161	4.119850187	289	314	 gene_name RP11-676J15.1	 cmp_ref T163940
ENSG00000263958.1		0.14507994	0.005880228	0.044653643	29	22	534	5.43071161	4.119850187	289	314	 gene_name RP11-676J15.1	 cmp_ref T163942
ENSG00000263958.1		0.14507994	0.005880228	0.044653643	29	22	534	5.43071161	4.119850187	289	314	 gene_name RP11-676J15.1	 cmp_ref T163940
ENSG00000263958.1		0.14507994	0.005880228	0.044653643	29	22	534	5.43071161	4.119850187	289	314	 gene_name RP11-676J15.1	 cmp_ref T163942
ENSG00000226330.1		1.2069846	0.6437388	0.7203047	26	22	486	5.349794239	4.526748971	292	290	 gene_name RP11-739N20.2	 cmp_ref T028626
ENSG00000260063.1		0.5127288	0.4085516	0.5078238	106	71	2000	5.3	3.55	298	372	 gene_name RP5-968P14.2	 cmp_ref T006219
ENSG00000265458.1		1.322029	1.551093	1.602719	24	29	456	5.263157895	6.359649123	301	188	 gene_name RP13-20L14.6	 cmp_ref T157060
ENSG00000276488.1		1.0176594	0.1991835	0.3325036	32	13	608	5.263157895	2.138157895	301	583	 gene_name CTD-2537I9.18	 cmp_ref T181413
ENSG00000277013.1		0.758238	1.15813	1.023978	106	91	2040	5.196078431	4.460784314	304	296	 gene_name CTC-526N19.1	 cmp_ref T173157
ENSG00000275812.1		0.4028782	0.1443191	0.3856664	17	6	328	5.182926829	1.829268293	305	655	 gene_name RP4-697K14.15	 cmp_ref T222466
ENSG00000274213.1		3.3646975	0.4955097	1.3869818	18	32	348	5.172413793	9.195402299	307	122	 gene_name RP11-670E13.6	 cmp_ref T151081
ENSG00000268471.4	MIR4453HG	1.7997104	0.9637327	1.1810997	154	192	3000	5.133333333	6.4	308	185	 gene_name MIR4453	 cmp_ref T272952
ENSG00000271918.1		0.8943835	0.7778242	0.9846888	82	72	1610	5.093167702	4.472049689	310	294	 gene_name CTD-2287O16.5	 cmp_ref T287594
ENSG00000269038.1		0.9295866	0.4378645	0.7309939	23	21	452	5.088495575	4.646017699	311	279	 gene_name AP001462.6	 cmp_ref T060878
ENSG00000175772.10	LINC01106	1.4783105	0.2958449	0.3788186	139	102	2774	5.010814708	3.677000721	316	360	 gene_name LINC01106	 cmp_ref T196668
ENSG00000254162.1		0.2131985	0.1046041	0.1764098	183	179	3766	4.859267127	4.753053638	324	269	 gene_name RP11-48B3.3	 cmp_ref T346681
ENSG00000230679.1	ENO1-AS1	0.5944118	0.5823123	1.0180762	22	23	456	4.824561404	5.043859649	326	249	 gene_name ENO1-AS1	 cmp_ref T002661
ENSG00000255224.1		2.4937615	0.7718442	1.349125	60	59	1264	4.746835443	4.667721519	329	276	 gene_name CTD-3065J16.9	 cmp_ref T353902
ENSG00000270006.2		1.777368	1.14136	1.739032	19	15	401	4.738154613	3.740648379	330	353	 gene_name RP11-178L8.7	 cmp_ref T137850
ENSG00000230555.2		0.8728932	1.2399688	0.9534746	36	27	760	4.736842105	3.552631579	331	371	 gene_name RP11-517P14.2	 cmp_ref T040715
ENSG00000275479.1		0.7041453	1.8261981	2.4244116	8	12	172	4.651162791	6.976744186	334	172	 gene_name RP11-334C17.6	 cmp_ref T156056
ENSG00000270673.1	YTHDF3-AS1	3.650494	1.602573	2.605726	33	52	718	4.596100279	7.242339833	338	163	 gene_name YTHDF3-AS1	 cmp_ref T344927
ENSG00000270761.1		2.822721	2.029816	4.244627	15	35	330	4.545454545	10.60606061	343	94	 gene_name RP11-385F7.1	 cmp_ref T304721
ENSG00000255320.1		2.439688	2.32342	2.497451	18	9	397	4.534005038	2.267002519	346	558	 gene_name RP11-755F10.1	 cmp_ref T061555
ENSG00000272009.1		1.685573	1.231846	1.542113	31	32	686	4.518950437	4.664723032	347	277	 gene_name RP1-313I6.12	 cmp_ref T299698
ENSG00000259723.1		1.0738437	0.4310225	0.6687506	24	10	542	4.42804428	1.84501845	353	650	 gene_name RP5-823G15.5	 cmp_ref T220186
ENSG00000230836.1	LINC01293	0.11223125	0.02270361	0.0690937	56	38	1266	4.423380727	3.001579779	354	426	 gene_name LINC01293	 cmp_ref T192272
ENSG00000231806.2	PCAT7	2.2511241	0.2861107	1.6935749	51	42	1164	4.381443299	3.608247423	359	367	 gene_name PCAT7	 cmp_ref T362896
ENSG00000232442.1	MHENCR	11.151431	2.968569	7.067646	35	32	801	4.369538077	3.995006242	363	321	 gene_name CTD-3184A7.4	 cmp_ref T222505
ENSG00000232442.1	MHENCR	11.151431	2.968569	7.067646	35	32	801	4.369538077	3.995006242	363	321	 gene_name CTD-3184A7.4	 cmp_ref T222507
ENSG00000275494.1		4.320165	2.28161	3.531807	23	28	534	4.307116105	5.243445693	367	237	 gene_name RP11-266L9.8	 cmp_ref T129129
ENSG00000259291.2	ZNF710-AS1	3.161364	4.702911	3.322866	124	58	2902	4.272915231	1.99862164	372	612	 gene_name RP11-617F23.1	 cmp_ref T121985
ENSG00000236618.2	PITPNA-AS1	2.891967	4.920613	5.320239	23	15	542	4.243542435	2.767527675	374	466	 gene_name PITPNA-AS1	 cmp_ref T139412
ENSG00000244586.1	WNT5A-AS1	1.7547354	0.727671	0.8465585	21	20	500	4.2	4	377	319	 gene_name WNT5A-AS1	 cmp_ref T243880
ENSG00000205559.3	CHKB-DT	2.689267	0.718929	1.035696	24	16	578	4.152249135	2.76816609	380	465	 gene_name CHKB-AS1	 cmp_ref T236617
ENSG00000273355.1		1.252171	1.423266	1.874853	20	19	483	4.140786749	3.933747412	381	327	 gene_name RP11-672L10.6	 cmp_ref T157493
ENSG00000203441.2	LINC00449	0.4698333	0.09531826	0.12580926	36	25	872	4.128440367	2.866972477	383	448	 gene_name LINC00449	 cmp_ref T098135
ENSG00000253390.1		0.13063251	0.07730088	0.08332813	26	6	630	4.126984127	0.952380952	384	1075	 gene_name CTC-756D1.2	 cmp_ref T340551
ENSG00000273139.1		0.4529869	0.2168044	0.5497416	19	23	465	4.086021505	4.946236559	388	255	 gene_name XXbac-B444P24.14	 cmp_ref T229510
ENSG00000228350.1	LINC02585	1.3389916	0.3915295	1.1258016	8	9	196	4.081632653	4.591836735	389	285	 gene_name CELSR3-AS1	 cmp_ref T242253
ENSG00000177738.3		1.905856	1.716417	1.728919	113	121	2784	4.058908046	4.346264368	391	306	 gene_name CTD-2201E18.3	 cmp_ref T281657
ENSG00000177738.3		1.905856	1.716417	1.728919	113	121	2784	4.058908046	4.346264368	391	306	 gene_name CTD-2201E18.3	 cmp_ref T281637
ENSG00000177738.3		1.905856	1.716417	1.728919	113	121	2784	4.058908046	4.346264368	391	306	 gene_name CTD-2201E18.3	 cmp_ref T281657
ENSG00000177738.3		1.905856	1.716417	1.728919	113	121	2784	4.058908046	4.346264368	391	306	 gene_name CTD-2201E18.3	 cmp_ref T281637
ENSG00000223478.1		4.931861	4.218687	6.375343	22	18	544	4.044117647	3.308823529	392	392	 gene_name RP11-545E17.3	 cmp_ref T367231
ENSG00000255741.1		0.3372013	0.225241	0.2399056	23	18	569	4.042179262	3.16344464	393	409	 gene_name RP11-757G1.5	 cmp_ref T062496
ENSG00000276791.1		0.6513183	0.46898	0.5277622	131	109	3250	4.030769231	3.353846154	395	386	 gene_name CTD-2270P14.5	 cmp_ref T125632
ENSG00000259768.5		0.06431428	0.60167145	0.6312171	195	112	4842	4.027261462	2.313093763	396	544	 gene_name RP5-991G20.1	 cmp_ref T135984
ENSG00000246334.2	PRR7-AS1	0.42843662	0.04745593	0.09189497	68	21	1701	3.997648442	1.234567901	398	900	 gene_name PRR7-AS1	 cmp_ref T294299
ENSG00000234546.2	LNCTAM34A	0.6808635	1.2201118	0.9254544	39	46	985	3.959390863	4.670050761	404	275	 gene_name RP3-510D11.2	 cmp_ref T002718
ENSG00000248866.1	USP46-AS1	1.846228	1.984661	1.621901	41	47	1048	3.91221374	4.484732824	406	293	 gene_name USP46-AS1	 cmp_ref T264691
ENSG00000272686.1		2.283052	2.639933	2.812399	82	70	2099	3.906622201	3.334921391	407	388	 gene_name RP11-390E23.6	 cmp_ref T332345
ENSG00000260588.1		0.3244748	0.1625498	0.1839761	69	48	1770	3.898305085	2.711864407	409	477	 gene_name RP11-930P14.2	 cmp_ref T342923
ENSG00000270265.1		0.6220272	0.3107791	0.3906253	21	7	540	3.888888889	1.296296296	412	863	 gene_name RP11-731D1.4	 cmp_ref T272851
ENSG00000250015.1		0.3905083	0.761395	0.4222247	8	1	206	3.883495146	0.485436893	413	1600	 gene_name CTC-339F2.2	 cmp_ref T287611
ENSG00000272444.1		0.5090724	0.5041692	0.9090795	25	23	648	3.858024691	3.549382716	415	373	 gene_name RP11-1017G21.6	 cmp_ref T110610
